Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
6,6,2,1172.0,UA,DEN,DTW,1123.0,1
7,2,7,420.0,NW,MSP,LAS,1300.0,0
12,10,7,493.0,WN,DAL,SAT,248.0,0
12,14,4,1089.0,WN,STL,SLC,1156.0,0
12,15,4,750.0,WN,BOI,RNO,335.0,0
10,6,5,1210.0,OH,LGA,JAX,834.0,1
5,15,1,870.0,OO,CIC,SFO,153.0,0
5,2,2,830.0,WN,AUS,HRL,273.0,0
4,27,4,357.0,AA,LGA,ORD,733.0,0
11,29,2,370.0,AA,SLC,ORD,1249.0,0
1,24,2,824.0,XE,IAH,JAN,351.0,0
6,25,7,355.0,OO,COD,SLC,298.0,0
10,22,6,768.0,HA,HNL,SMF,2462.0,0
6,16,4,825.0,WN,RNO,PDX,444.0,1
10,18,2,1196.0,AA,ORD,EWR,719.0,0
3,12,7,770.0,MQ,BNA,ORD,409.0,1
12,25,7,620.0,WN,TPA,ISP,1034.0,0
2,14,2,547.0,NW,DFW,DTW,987.0,0
10,27,4,1147.0,F9,DEN,DFW,641.0,0
1,28,5,1295.0,WN,BNA,TPA,612.0,0
5,9,1,478.0,AA,MIA,JFK,1090.0,0
12,16,6,595.0,OO,SLC,FCA,532.0,0
5,29,1,1029.0,DL,ATL,PIT,526.0,0
3,13,7,910.0,OH,EVV,CVG,170.0,0
5,10,3,914.0,XE,PNS,IAH,489.0,0
1,1,6,660.0,WN,LAS,MDW,1521.0,0
7,21,4,646.0,WN,SAN,SJC,417.0,1
1,14,6,577.0,US,EWR,CLT,529.0,0
7,16,6,603.0,AA,DFW,AUS,190.0,0
2,3,5,1160.0,WN,LAX,PHX,370.0,1
4,16,7,1153.0,US,CLT,BUF,546.0,0
12,24,6,1099.0,CO,IAH,OKC,395.0,0
7,26,3,712.0,WN,PHL,LAS,2176.0,0
2,19,7,611.0,UA,DEN,IAH,861.0,0
9,7,4,1162.0,AS,SEA,ANC,1449.0,1
3,11,5,1055.0,CO,BWI,IAH,1235.0,0
8,28,1,511.0,FL,RSW,ATL,515.0,0
6,4,7,1286.0,UA,DEN,LAX,862.0,0
12,13,3,1193.0,YV,JFK,IAD,228.0,1
10,24,2,957.0,DL,ATL,SAN,1891.0,0
3,22,2,365.0,AS,ANC,BET,399.0,0
5,8,7,604.0,AS,ONT,SEA,956.0,0
4,25,2,1086.0,AS,OAK,SEA,671.0,0
4,14,5,592.0,US,CLT,FLL,631.0,0
12,13,3,947.0,MQ,LAX,SBA,89.0,0
10,13,4,1072.0,OO,MCI,ORD,403.0,0
12,9,6,585.0,YV,PHX,GJT,438.0,0
12,15,4,761.0,XE,CRP,IAH,201.0,1
8,7,7,867.0,OO,SNA,LAX,36.0,0
9,13,3,1010.0,WN,AMA,DAL,324.0,0
3,10,5,528.0,UA,MSP,DEN,680.0,0
3,30,4,1280.0,AA,LAX,MIA,2342.0,0
4,11,2,485.0,EV,STL,SLC,1156.0,0
12,23,6,364.0,UA,SFO,DEN,967.0,0
1,31,2,871.0,OO,DEN,BZN,525.0,0
9,16,5,523.0,AA,ORD,DEN,888.0,1
5,23,1,940.0,OH,CID,CVG,419.0,0
11,26,7,406.0,OO,ORD,FWA,157.0,0
8,7,7,573.0,DL,RSW,ATL,515.0,0
8,17,3,797.0,MQ,ORD,SYR,607.0,0
10,22,7,857.0,WN,BWI,BDL,283.0,0
10,14,5,433.0,NW,DTW,MCO,957.0,0
12,28,4,1166.0,EV,ATL,CLE,554.0,0
9,4,7,1053.0,AS,DCA,SEA,2329.0,0
3,17,5,1017.0,CO,PHX,IAH,1009.0,1
3,4,6,1045.0,AS,LGB,SEA,965.0,0
3,4,5,405.0,MQ,SAN,LAX,109.0,0
5,26,5,996.0,UA,ORD,BDL,783.0,0
1,2,7,1037.0,UA,DEN,BOI,649.0,0
2,24,5,510.0,UA,ONT,DEN,819.0,0
1,22,7,1194.0,DL,ATL,GSO,306.0,1
6,10,6,979.0,EV,GSP,CVG,317.0,1
9,16,5,542.0,UA,SNA,ORD,1726.0,0
6,26,7,880.0,WN,MAF,DAL,319.0,0
5,2,1,702.0,DL,ATL,GSP,153.0,0
10,6,4,820.0,MQ,CRP,DFW,354.0,0
2,4,5,650.0,WN,LAS,OAK,407.0,0
6,1,4,1182.0,DL,ATL,IAD,533.0,1
10,29,7,552.0,NW,MSP,LAX,1536.0,0
9,11,1,1210.0,UA,LAX,LAS,236.0,0
7,13,3,815.0,CO,LAS,IAH,1222.0,1
4,11,2,1131.0,OO,DEN,MEM,872.0,0
5,18,3,737.0,NW,DTW,LAN,74.0,0
7,19,3,1265.0,TZ,MDW,DFW,797.0,0
8,26,6,994.0,AA,MFE,DFW,468.0,0
8,22,2,353.0,YV,BMI,ORD,116.0,0
7,25,2,847.0,F9,MSP,DEN,680.0,0
6,24,6,386.0,MQ,SAN,SJC,417.0,0
4,27,4,1251.0,OO,ORD,FWA,157.0,0
10,13,4,692.0,AA,MFE,DFW,468.0,0
10,1,6,672.0,AS,PDX,LAS,762.0,0
11,18,5,863.0,OO,LAX,SJC,308.0,0
10,28,5,802.0,DL,ATL,STL,483.0,1
6,1,4,410.0,NW,LAS,MSP,1300.0,0
4,26,3,730.0,OO,IPL,YUM,58.0,0
8,30,2,763.0,MQ,ORD,MKE,67.0,0
9,22,4,954.0,UA,SFO,SAN,447.0,0
11,18,5,1195.0,MQ,GRB,MQT,134.0,0
8,5,5,1169.0,UA,LAX,SFO,337.0,0
12,1,4,1153.0,WN,SJC,ONT,333.0,0
11,13,1,928.0,OO,SLC,SJC,585.0,0
2,27,7,1107.0,OO,DEN,ELP,563.0,0
4,18,1,677.0,DL,AUS,ATL,813.0,0
4,22,6,878.0,OH,MCI,MCO,1072.0,0
4,28,4,1237.0,AS,SEA,LAX,954.0,0
6,6,2,1056.0,OO,FAR,ORD,557.0,0
4,11,1,687.0,HP,LAS,DEN,629.0,0
12,3,6,985.0,XE,IAH,RDU,1043.0,0
7,19,2,1028.0,MQ,DFW,LBB,282.0,0
12,28,4,1073.0,WN,HOU,JAN,359.0,1
6,11,7,1109.0,OO,MTJ,DEN,197.0,0
11,11,5,909.0,NW,DTW,JAX,814.0,0
10,8,6,656.0,US,CLT,PHL,448.0,0
6,29,4,1252.0,XE,DCA,EWR,199.0,0
6,16,4,779.0,DL,SLC,CVG,1449.0,0
5,22,1,514.0,DL,ATL,PBI,545.0,0
9,10,6,1082.0,NW,BOS,DTW,632.0,0
7,9,7,1259.0,B6,JFK,SJU,1597.0,0
5,25,4,545.0,YV,DRO,DEN,251.0,0
5,29,1,692.0,US,RDU,PHL,336.0,0
7,9,6,495.0,DH,IAD,CHS,441.0,0
11,3,4,730.0,WN,TPA,PVD,1137.0,0
9,5,2,515.0,AA,CLT,DFW,936.0,0
6,17,6,755.0,YV,IAD,LGA,229.0,0
8,4,4,724.0,NW,ONT,MSP,1494.0,0
3,7,2,945.0,EV,MLU,ATL,448.0,0
9,2,5,722.0,DL,VPS,ATL,264.0,0
3,22,3,852.0,UA,IAH,DEN,861.0,0
4,27,4,1105.0,WN,PHX,SAN,304.0,0
7,4,2,1242.0,US,LAS,PDX,762.0,0
5,24,2,658.0,AA,MIA,LGA,1097.0,1
7,31,1,1007.0,AA,ATL,MIA,595.0,0
6,20,1,560.0,WN,STL,OKC,462.0,1
12,23,5,444.0,CO,SEA,IAH,1874.0,0
5,17,3,772.0,UA,SAN,IAD,2253.0,0
9,26,1,1250.0,NW,MDW,MSP,349.0,1
1,12,3,393.0,DL,BOS,ATL,946.0,1
10,14,6,530.0,AA,TUL,DFW,237.0,1
3,14,1,700.0,OH,CVG,ACY,542.0,0
1,8,7,894.0,EV,ATL,CAK,528.0,1
8,7,1,1237.0,AA,DFW,PDX,1616.0,1
9,18,7,982.0,OO,SBA,SLC,615.0,0
2,10,5,570.0,YV,PWM,IAD,494.0,0
5,17,2,375.0,WN,RNO,SJC,188.0,0
7,7,4,684.0,OO,IDA,SLC,188.0,0
3,4,6,687.0,NW,MCO,DTW,957.0,0
4,11,2,1301.0,OO,ORD,MEM,491.0,1
4,8,6,445.0,OH,SAT,CVG,1024.0,1
10,7,6,1272.0,DL,SLC,PDX,630.0,0
4,5,2,350.0,WN,PHX,LAS,256.0,0
7,16,7,1086.0,DL,ATL,PHL,665.0,0
3,27,7,685.0,WN,ONT,SMF,389.0,0
3,17,5,1095.0,NW,PHX,MSP,1276.0,1
2,27,1,1155.0,B6,FLL,JFK,1069.0,0
4,27,4,470.0,OO,LAX,ABQ,677.0,0
5,13,5,809.0,DL,ATL,JAX,270.0,0
12,23,5,1047.0,OO,ACV,SFO,250.0,1
10,1,7,817.0,B6,JFK,PBI,1028.0,1
4,11,1,978.0,DL,ATL,LAX,1946.0,0
4,29,5,508.0,NW,CHS,DTW,668.0,0
7,27,4,803.0,WN,PHL,MCO,861.0,1
2,23,3,417.0,DL,STL,ATL,483.0,0
11,26,6,624.0,NW,DTW,LAN,74.0,0
12,23,5,355.0,OH,BGM,CVG,506.0,0
3,11,5,1067.0,UA,MSY,ORD,837.0,0
5,4,4,1100.0,UA,DEN,MSP,680.0,0
7,13,3,749.0,EV,ATL,MSP,906.0,0
2,20,1,934.0,HA,OGG,KOA,84.0,0
9,10,6,1049.0,OH,JFK,STL,892.0,0
11,16,3,847.0,AA,LGA,BNA,764.0,0
7,18,2,1136.0,UA,DEN,RNO,804.0,1
4,13,4,566.0,MQ,LGA,RDU,431.0,0
9,28,4,1068.0,CO,SFO,IAH,1635.0,0
6,17,5,865.0,OH,DSM,CVG,505.0,0
4,17,7,1229.0,XE,CLE,BNA,448.0,0
3,10,5,482.0,OO,SLC,IDA,188.0,0
6,2,5,1084.0,EV,ATL,EVV,350.0,1
5,15,7,446.0,CO,EWR,MCO,938.0,0
3,28,2,1016.0,UA,ORD,PIT,412.0,1
6,2,4,1013.0,US,MCI,CLT,809.0,0
6,3,5,1217.0,DL,MOB,ATL,302.0,1
2,2,4,430.0,WN,BWI,MCO,787.0,0
6,24,5,602.0,FL,CAK,ATL,528.0,0
4,12,3,565.0,DL,ATL,SAT,874.0,0
3,6,7,1032.0,NW,MSP,LAS,1300.0,0
5,21,6,964.0,MQ,SAN,SJC,417.0,0
8,6,7,1157.0,US,DCA,TPA,814.0,0
2,21,1,779.0,DL,SNA,SLC,588.0,0
5,6,6,1141.0,US,RSW,CLT,600.0,0
4,6,3,381.0,NW,DCA,DTW,405.0,0
4,8,5,646.0,MQ,LIT,DFW,304.0,0
1,17,1,405.0,EV,FAY,ATL,331.0,0
9,18,7,1001.0,EV,DSM,ATL,743.0,0
2,10,5,893.0,OO,DEN,ELP,563.0,0
4,7,4,925.0,MQ,LIT,DFW,304.0,0
6,29,4,966.0,XE,SHV,IAH,192.0,1
2,1,3,683.0,WN,TUS,SAN,367.0,0
12,31,7,903.0,WN,DEN,LAS,629.0,0
11,21,2,791.0,NW,IND,DTW,231.0,0
5,31,2,599.0,UA,STL,ORD,258.0,0
12,15,4,896.0,MQ,LAX,SAN,109.0,0
8,10,3,1375.0,EV,ATL,LEX,303.0,0
8,4,5,885.0,AQ,HNL,ITO,216.0,0
11,15,2,425.0,DH,CAE,IAD,401.0,0
12,3,7,907.0,OO,SLC,RNO,422.0,0
3,31,5,791.0,XE,PHL,CLE,363.0,0
12,3,7,740.0,OH,JFK,BUF,301.0,0
6,2,4,1030.0,WN,SLC,BOI,291.0,0
3,12,6,1222.0,OO,TUS,LAX,451.0,0
8,13,7,1088.0,AA,MCO,DFW,984.0,1
7,2,6,814.0,NW,MSP,MCO,1310.0,0
9,5,1,1353.0,OO,SFO,SBP,191.0,0
5,6,6,841.0,WN,OAK,PDX,543.0,1
9,23,6,1146.0,WN,PVD,TPA,1137.0,0
5,20,6,729.0,AA,ONT,DFW,1189.0,0
2,27,7,1148.0,OH,DCA,BOS,399.0,0
12,26,1,478.0,AS,SEA,KTN,680.0,0
11,27,7,511.0,OO,ORD,SGF,438.0,0
10,29,7,1035.0,NW,ROC,DTW,296.0,0
4,7,5,390.0,XE,CHS,IAH,925.0,0
7,10,7,412.0,XE,CRP,IAH,201.0,0
8,22,1,398.0,OO,MFR,SLC,575.0,0
12,5,1,1000.0,WN,OAK,SAN,446.0,0
8,21,7,453.0,DL,IAD,ATL,533.0,0
6,29,4,1255.0,AA,DFW,BNA,631.0,0
7,19,2,1118.0,NW,MSP,RDU,981.0,0
8,15,2,1020.0,EV,VLD,ATL,208.0,1
2,5,7,1240.0,US,PHL,SFO,2521.0,1
12,25,1,489.0,WN,PHL,HOU,1335.0,1
10,21,6,793.0,EV,MDW,ATL,590.0,0
12,19,1,895.0,OH,CVG,ALB,623.0,0
4,20,3,1045.0,NW,TPA,DTW,983.0,0
6,14,2,882.0,DL,AUS,CVG,958.0,0
12,5,1,749.0,UA,DEN,LGA,1619.0,0
3,21,2,1285.0,WN,DAL,TUL,237.0,0
8,29,1,1160.0,XE,CLE,ABE,339.0,0
6,16,4,680.0,WN,OAK,SNA,371.0,1
11,22,3,429.0,WN,ELP,AUS,528.0,0
9,21,4,700.0,WN,SAT,DAL,248.0,0
12,11,1,1432.0,UA,ORD,SFO,1846.0,1
4,27,3,560.0,OH,RIC,CVG,413.0,0
5,21,7,589.0,NW,DTW,PVD,614.0,0
12,29,5,900.0,NW,DTW,TPA,983.0,1
1,19,4,1253.0,MQ,BOS,JFK,187.0,0
8,10,4,1275.0,MQ,DFW,AMA,313.0,1
10,4,3,712.0,CO,IAH,MCO,853.0,0
9,10,6,450.0,WN,OAK,SNA,371.0,0
8,24,3,1009.0,HP,BWI,PHX,1999.0,0
5,22,7,896.0,MQ,DFW,LIT,304.0,0
12,19,1,447.0,XE,OKC,EWR,1325.0,0
8,20,7,376.0,MQ,MKE,ORD,67.0,0
9,19,2,748.0,US,TPA,PIT,873.0,0
10,6,5,474.0,AS,SEA,ANC,1449.0,0
2,24,5,610.0,US,PHX,IND,1489.0,0
1,11,2,655.0,OH,SGF,CVG,491.0,1
8,30,2,1171.0,DL,ATL,DTW,594.0,0
12,19,2,1007.0,OO,TYS,ORD,475.0,0
2,10,5,957.0,CO,BWI,IAH,1235.0,0
8,28,7,702.0,US,PHL,RDU,336.0,0
8,31,3,985.0,AA,ORD,SEA,1721.0,0
4,5,2,899.0,OO,CLE,DEN,1201.0,0
12,27,3,670.0,OH,CVG,ROA,282.0,0
1,19,4,1063.0,DL,ATL,LEX,303.0,0
9,19,1,870.0,OH,TPA,LEX,704.0,0
9,30,5,1145.0,WN,MAF,AUS,294.0,0
8,14,1,963.0,AS,LAX,SEA,954.0,0
10,27,5,1322.0,MQ,ORD,GSP,577.0,1
1,20,5,1167.0,US,CLT,ROC,573.0,0
7,4,2,1034.0,WN,LAS,ELP,584.0,0
10,27,5,596.0,AA,SAN,DFW,1171.0,0
6,2,4,414.0,DL,STL,ATL,483.0,0
8,2,3,634.0,AA,SAT,DFW,247.0,0
7,31,1,45.0,DL,LAX,ATL,1946.0,1
7,17,7,647.0,WN,SMF,LAX,373.0,0
10,12,3,1044.0,UA,DEN,SMF,910.0,1
3,10,5,447.0,AA,ORF,DFW,1213.0,0
12,28,3,583.0,EV,ATL,SAV,215.0,1
11,17,4,1140.0,EV,CVG,TOL,181.0,1
2,22,3,360.0,WN,PDX,OAK,543.0,0
5,3,3,710.0,OH,CHO,CVG,342.0,0
12,27,2,1344.0,WN,SJC,ONT,333.0,1
12,22,4,661.0,EV,SHV,ATL,552.0,0
4,3,7,1004.0,UA,SFO,OGG,2338.0,0
5,24,3,728.0,UA,SJC,DEN,948.0,1
11,7,2,858.0,DL,ATL,SAT,874.0,0
11,25,5,1222.0,AS,ANC,SEA,1449.0,0
6,15,3,900.0,AA,DFW,DTW,987.0,0
8,1,2,853.0,DL,ATL,CHS,259.0,0
5,27,5,662.0,DL,DAB,ATL,366.0,0
4,4,2,890.0,WN,CLE,LAS,1825.0,0
3,14,1,490.0,UA,EGE,DEN,121.0,0
3,5,6,709.0,OO,DEN,FAT,844.0,0
5,28,7,914.0,XE,EWR,MCI,1092.0,0
12,29,4,1181.0,AA,RSW,ORD,1120.0,0
5,27,5,1245.0,XE,CLE,MSN,402.0,0
9,7,3,968.0,AA,MCO,BOS,1121.0,0
8,27,6,1223.0,HP,SFO,LAS,414.0,0
9,11,1,358.0,AS,ANC,SEA,1449.0,0
2,20,1,1012.0,XE,CLE,DFW,1021.0,0
4,20,3,1271.0,US,CLT,DCA,331.0,0
9,1,4,1107.0,OO,SLC,FCA,532.0,0
1,17,1,1034.0,DL,RDU,ATL,356.0,0
10,5,3,419.0,AA,IAH,DFW,224.0,0
5,10,3,603.0,UA,ORD,OAK,1835.0,0
2,24,5,583.0,OO,BOI,SLC,291.0,0
8,16,3,358.0,AS,SEA,SJC,697.0,0
7,23,7,578.0,NW,PHL,DTW,453.0,0
5,19,5,891.0,OO,SAN,SLC,626.0,0
12,8,5,444.0,US,IAD,PHX,1956.0,1
10,22,7,1406.0,B6,JFK,CMH,483.0,1
4,15,5,706.0,DL,SNA,ATL,1919.0,0
8,23,3,615.0,MQ,GSP,DFW,862.0,0
9,16,6,1061.0,MQ,TYS,ORD,475.0,0
5,20,5,716.0,NW,GRR,DTW,120.0,0
8,22,2,674.0,XE,EWR,RDU,416.0,0
8,28,1,1000.0,AA,MFE,DFW,468.0,0
1,16,7,1193.0,US,PHL,PIT,267.0,0
7,14,4,403.0,HP,LAX,PHX,370.0,0
12,21,3,415.0,XE,MCI,EWR,1092.0,0
9,18,1,1058.0,AA,BOS,DFW,1562.0,0
6,29,4,417.0,US,ELP,PHX,347.0,1
9,8,5,1156.0,XE,IAH,GRR,1042.0,0
11,11,6,636.0,AA,DFW,BUR,1231.0,0
12,28,3,1147.0,DL,SLC,SEA,689.0,0
3,20,7,759.0,UA,LAS,ORD,1515.0,0
9,21,4,782.0,HA,HNL,SFO,2398.0,0
10,10,1,1325.0,DL,ATL,SAN,1891.0,1
10,24,1,785.0,OO,BIS,DEN,517.0,0
1,25,2,1083.0,XE,JAN,IAH,351.0,0
9,23,6,933.0,OH,CVG,AVL,275.0,1
5,10,3,631.0,MQ,SAN,SJC,417.0,0
1,7,5,813.0,NW,EWR,MSP,1008.0,0
10,15,7,886.0,OO,ORD,MKE,67.0,0
4,5,2,559.0,EV,CAK,CVG,214.0,0
2,10,5,366.0,US,FLL,PHL,992.0,0
2,17,5,997.0,US,JAX,DCA,634.0,0
7,19,3,421.0,UA,GSO,ORD,590.0,0
8,31,3,1145.0,WN,DAL,LIT,296.0,1
5,23,1,1255.0,OH,DTW,CVG,229.0,1
1,27,4,535.0,US,PIT,PBI,952.0,0
9,9,6,675.0,OH,BUF,CVG,410.0,0
5,17,2,1022.0,B6,TPA,JFK,1005.0,1
12,24,6,426.0,F9,DEN,DFW,641.0,0
11,18,6,866.0,NW,MSO,MSP,1013.0,1
3,16,4,1227.0,US,PIT,PHL,267.0,0
3,22,2,691.0,AA,MSY,ORD,837.0,0
1,27,5,420.0,MQ,BGR,BOS,201.0,0
2,15,3,705.0,NW,BNA,MEM,200.0,0
5,20,6,635.0,UA,LAX,MCO,2217.0,0
8,16,2,489.0,OO,SLC,RNO,422.0,0
5,12,5,630.0,EV,ATL,MLU,448.0,0
1,28,6,398.0,WN,OKC,PHX,833.0,0
8,19,6,890.0,XE,IND,CLE,261.0,0
11,24,4,867.0,NW,IND,DTW,231.0,0
8,15,2,975.0,WN,PHL,BDL,196.0,0
11,2,3,608.0,MQ,DFW,JAN,408.0,0
11,13,1,466.0,FL,JAX,ATL,270.0,1
11,9,3,1087.0,AA,DFW,ELP,551.0,0
7,27,4,875.0,EV,OKC,SLC,866.0,0
1,9,7,679.0,OO,IDA,SLC,188.0,0
12,14,3,419.0,AA,LAX,FLL,2342.0,0
1,17,2,766.0,US,SNA,PHX,338.0,0
1,25,2,386.0,MQ,OKC,ORD,693.0,0
2,8,3,347.0,OO,CEC,ACV,56.0,0
2,8,3,652.0,US,ATL,PHX,1587.0,0
4,15,6,822.0,DL,PHX,ATL,1587.0,0
2,27,7,465.0,FL,DEN,ATL,1199.0,0
10,2,1,1000.0,DL,DEN,ATL,1199.0,0
9,10,7,424.0,FL,ICT,ATL,781.0,0
1,29,7,872.0,XE,IAH,ELP,667.0,0
4,22,5,878.0,DL,ATL,HOU,696.0,0
3,16,4,695.0,NW,MCO,MSP,1310.0,1
8,15,1,535.0,OH,LGA,CLT,544.0,1
2,1,2,570.0,DL,EWR,CVG,569.0,0
8,7,1,871.0,CO,MYR,EWR,550.0,0
1,24,2,364.0,DL,DCA,ATL,547.0,0
5,9,1,435.0,WN,CLE,STL,487.0,0
2,17,4,338.0,DL,MDW,ATL,590.0,0
6,6,2,1068.0,OO,PHX,LAX,370.0,0
12,30,6,1024.0,US,JAX,CLT,329.0,0
3,22,2,672.0,MQ,ORD,RIC,642.0,0
9,29,4,740.0,EV,ATL,CAK,528.0,0
3,18,5,1083.0,US,PIT,SAN,2106.0,0
4,9,7,426.0,UA,OAK,IAD,2408.0,0
7,29,6,1100.0,YV,PHX,OMA,1037.0,0
5,8,1,602.0,YV,DEN,COS,72.0,0
5,19,5,1135.0,AS,SEA,PHX,1107.0,0
3,19,6,1217.0,OO,DEN,FAT,844.0,0
1,6,5,361.0,AS,SEA,LAX,954.0,0
5,7,7,836.0,UA,BOI,DEN,649.0,1
5,11,3,824.0,F9,DEN,MCI,533.0,1
4,28,4,1105.0,XE,ALB,CLE,424.0,0
4,27,4,912.0,XE,LIT,IAH,374.0,0
5,16,2,529.0,XE,CLE,DAY,162.0,0
9,13,3,1199.0,CO,MIA,EWR,1086.0,0
7,26,2,544.0,OO,STL,DEN,770.0,0
11,25,5,777.0,XE,IAH,LEX,828.0,0
6,5,7,809.0,DL,LGA,DCA,214.0,0
7,27,4,716.0,AQ,LIH,HNL,102.0,0
4,22,6,356.0,DL,MCO,ATL,403.0,0
8,5,6,969.0,OO,PHX,LAX,370.0,0
4,30,7,1046.0,F9,DEN,LAX,862.0,1
12,12,1,659.0,AA,DFW,JFK,1391.0,0
10,5,3,394.0,F9,RNO,DEN,804.0,0
3,20,1,390.0,YV,SBP,PHX,509.0,0
6,14,2,1126.0,EV,AEX,ATL,500.0,0
8,14,7,1333.0,DL,BOS,ATL,946.0,1
2,23,4,907.0,DL,ATL,LAX,1946.0,1
7,28,4,1010.0,UA,SFO,LAX,337.0,0
12,27,2,1149.0,EV,GNV,ATL,300.0,0
10,31,1,860.0,WN,ONT,OAK,361.0,0
8,11,5,688.0,DL,STL,CVG,307.0,0
1,25,2,940.0,XE,DSM,IAH,802.0,0
7,7,4,1268.0,OH,RDU,MCO,534.0,1
3,14,2,788.0,YV,DRO,DEN,251.0,0
11,6,7,1259.0,AA,DFW,SAT,247.0,0
10,19,4,371.0,OO,TUS,SFO,751.0,0
12,23,6,439.0,NW,IAH,DTW,1076.0,0
5,5,5,433.0,DL,CMH,ATL,446.0,0
3,17,4,1131.0,UA,SFO,DFW,1464.0,0
11,2,4,851.0,OO,LAX,SAN,109.0,0
4,11,2,430.0,WN,MCO,MCI,1072.0,0
12,18,7,952.0,CO,MCO,CLE,895.0,0
4,9,7,1375.0,DL,SJC,ATL,2116.0,0
1,3,1,1418.0,HP,LAS,ATL,1747.0,1
8,2,2,549.0,NW,DTW,GRB,288.0,0
8,29,1,1175.0,WN,CLE,MDW,307.0,0
6,26,7,815.0,NW,MEM,MSP,700.0,0
7,16,6,993.0,AA,ICT,DFW,328.0,0
2,26,6,1230.0,AA,MIA,DTW,1145.0,1
9,8,5,1025.0,WN,LAS,SJC,386.0,1
2,11,5,1288.0,DL,SAV,ATL,215.0,0
